,provinceStateName,peoplePositiveCasesCt,deathCt,date
0,Alabama,921175,16496,2022-01-04
1,Alabama,932250,16503,2022-01-05
2,Alabama,944876,16543,2022-01-06
3,Alabama,957848,16585,2022-01-07
4,Alabama,966180,16624,2022-01-08
5,Alabama,978632,16624,2022-01-09
6,Alaska,160089,979,2022-01-04
7,Alaska,161678,979,2022-01-05
8,Alaska,161678,979,2022-01-06
9,Alaska,165353,980,2022-01-07
10,Alaska,165353,980,2022-01-08
11,Alaska,165353,980,2022-01-09
12,Arizona,1411813,24509,2022-01-04
13,Arizona,1419562,24570,2022-01-05
14,Arizona,1430241,24586,2022-01-06
15,Arizona,1445129,24616,2022-01-07
16,Arizona,1461633,24704,2022-01-08
17,Arizona,1461633,24704,2022-01-09
18,Arkansas,581134,9248,2022-01-04
19,Arkansas,588622,9256,2022-01-05
20,Arkansas,596409,9278,2022-01-06
21,Arkansas,604843,9298,2022-01-07
22,Arkansas,613014,9314,2022-01-08
23,Arkansas,613014,9314,2022-01-09
24,California,5768815,76634,2022-01-04
25,California,5808171,76760,2022-01-05
26,California,5894761,76792,2022-01-06
27,California,6003152,77026,2022-01-07
28,California,6037516,77043,2022-01-08
29,California,6085177,77056,2022-01-09
30,Colorado,962777,10335,2022-01-04
31,Colorado,971525,10354,2022-01-05
32,Colorado,979437,10402,2022-01-06
33,Colorado,989409,10425,2022-01-07
34,Colorado,989409,10425,2022-01-08
35,Colorado,989409,10425,2022-01-09
36,Connecticut,544468,9274,2022-01-04
37,Connecticut,554812,9281,2022-01-05
38,Connecticut,563635,9281,2022-01-06
39,Connecticut,573711,9377,2022-01-07
40,Connecticut,573711,9377,2022-01-08
41,Connecticut,573711,9377,2022-01-09
42,Delaware,191649,2286,2022-01-04
43,Delaware,192968,2286,2022-01-05
44,Delaware,195600,2286,2022-01-06
45,Delaware,198507,2330,2022-01-07
46,Delaware,202236,2365,2022-01-08
47,Delaware,205640,2365,2022-01-09
48,Florida,4360178,62541,2022-01-04
49,Florida,4360178,62541,2022-01-05
50,Florida,4486276,62622,2022-01-06
51,Florida,4606489,62688,2022-01-07
52,Florida,4633077,62688,2022-01-08
53,Florida,4633077,62688,2022-01-09
54,Georgia,1904918,31494,2022-01-04
55,Georgia,1928942,31521,2022-01-05
56,Georgia,1928942,31521,2022-01-06
57,Georgia,1928942,31521,2022-01-07
58,Georgia,1928942,31521,2022-01-08
59,Georgia,1928942,31521,2022-01-09
60,Hawaii,123456,1094,2022-01-04
61,Hawaii,126067,1094,2022-01-05
62,Hawaii,130856,1098,2022-01-06
63,Hawaii,134442,1101,2022-01-07
64,Hawaii,138646,1102,2022-01-08
65,Hawaii,143224,1105,2022-01-09
66,Idaho,322524,4188,2022-01-04
67,Idaho,323965,4192,2022-01-05
68,Idaho,325730,4223,2022-01-06
69,Idaho,327065,4235,2022-01-07
70,Idaho,327451,4237,2022-01-08
71,Idaho,327451,4237,2022-01-09
72,Illinois,2263166,30510,2022-01-04
73,Illinois,2295445,30589,2022-01-05
74,Illinois,2339534,30693,2022-01-06
75,Illinois,2382437,30794,2022-01-07
76,Illinois,2382437,30794,2022-01-08
77,Illinois,2382437,30794,2022-01-09
78,Indiana,1286590,19256,2022-01-04
79,Indiana,1299480,19296,2022-01-05
80,Indiana,1314688,19448,2022-01-06
81,Indiana,1329423,19614,2022-01-07
82,Indiana,1329423,19614,2022-01-08
83,Indiana,1329423,19614,2022-01-09
84,Iowa,587386,7858,2022-01-04
85,Iowa,592028,8019,2022-01-05
86,Iowa,596296,8019,2022-01-06
87,Iowa,596296,8019,2022-01-07
88,Iowa,608000,8019,2022-01-08
89,Iowa,608000,8019,2022-01-09
90,Kansas,535051,7049,2022-01-04
91,Kansas,550176,7064,2022-01-05
92,Kansas,550220,7064,2022-01-06
93,Kansas,566192,7097,2022-01-07
94,Kansas,566192,7097,2022-01-08
95,Kansas,566192,7097,2022-01-09
96,Kentucky,885673,12255,2022-01-04
97,Kentucky,895370,12284,2022-01-05
98,Kentucky,904916,12319,2022-01-06
99,Kentucky,915881,12358,2022-01-07
100,Kentucky,915881,12358,2022-01-08
101,Kentucky,915881,12358,2022-01-09
102,Louisiana,869146,15018,2022-01-04
103,Louisiana,879549,15027,2022-01-05
104,Louisiana,893626,15038,2022-01-06
105,Louisiana,908428,15054,2022-01-07
106,Louisiana,908428,15054,2022-01-08
107,Louisiana,908428,15054,2022-01-09
108,Maine,148217,1556,2022-01-04
109,Maine,149543,1582,2022-01-05
110,Maine,150845,1592,2022-01-06
111,Maine,152173,1599,2022-01-07
112,Maine,153376,1603,2022-01-08
113,Maine,153376,1603,2022-01-09
114,Maryland,765944,11944,2022-01-04
115,Maryland,776230,11993,2022-01-05
116,Maryland,788965,12048,2022-01-06
117,Maryland,800743,12107,2022-01-07
118,Maryland,813688,12158,2022-01-08
119,Maryland,830940,12211,2022-01-09
120,Massachusetts,1192549,20410,2022-01-04
121,Massachusetts,1223354,20464,2022-01-05
122,Massachusetts,1250765,20510,2022-01-06
123,Massachusetts,1279928,20568,2022-01-07
124,Massachusetts,1279928,20568,2022-01-08
125,Massachusetts,1279928,20568,2022-01-09
126,Michigan,1775882,29343,2022-01-04
127,Michigan,1808738,29659,2022-01-05
128,Michigan,1808738,29659,2022-01-06
129,Michigan,1855658,29955,2022-01-07
130,Michigan,1855658,29955,2022-01-08
131,Michigan,1855658,29955,2022-01-09
132,Minnesota,1045170,10740,2022-01-04
133,Minnesota,1049310,10811,2022-01-05
134,Minnesota,1056236,10873,2022-01-06
135,Minnesota,1064065,10906,2022-01-07
136,Minnesota,1064065,10906,2022-01-08
137,Minnesota,1064065,10906,2022-01-09
138,Mississippi,566102,10492,2022-01-04
139,Mississippi,572694,10503,2022-01-05
140,Mississippi,579773,10511,2022-01-06
141,Mississippi,586547,10527,2022-01-07
142,Mississippi,586547,10527,2022-01-08
143,Mississippi,586547,10527,2022-01-09
144,Missouri,1047615,16404,2022-01-04
145,Missouri,1059993,16445,2022-01-05
146,Missouri,1072618,16475,2022-01-06
147,Missouri,1085343,16489,2022-01-07
148,Missouri,1098962,16506,2022-01-08
149,Missouri,1106552,16509,2022-01-09
150,Montana,199455,2911,2022-01-04
151,Montana,200558,2912,2022-01-05
152,Montana,201720,2916,2022-01-06
153,Montana,202863,2917,2022-01-07
154,Montana,202863,2917,2022-01-08
155,Montana,202863,2917,2022-01-09
156,Nebraska,346860,3344,2022-01-04
157,Nebraska,349523,3344,2022-01-05
158,Nebraska,353056,3416,2022-01-06
159,Nebraska,355928,3456,2022-01-07
160,Nebraska,360321,3468,2022-01-08
161,Nebraska,360321,3468,2022-01-09
162,Nevada,499613,8467,2022-01-04
163,Nevada,502392,8487,2022-01-05
164,Nevada,504729,8505,2022-01-06
165,Nevada,509472,8509,2022-01-07
166,Nevada,509472,8509,2022-01-08
167,Nevada,509472,8509,2022-01-09
168,New Hampshire,204897,2004,2022-01-04
169,New Hampshire,208073,2013,2022-01-05
170,New Hampshire,211952,2017,2022-01-06
171,New Hampshire,214572,2019,2022-01-07
172,New Hampshire,214572,2019,2022-01-08
173,New Hampshire,214572,2019,2022-01-09
174,New Jersey,1674453,29151,2022-01-04
175,New Jersey,1711738,29209,2022-01-05
176,New Jersey,1744002,29315,2022-01-06
177,New Jersey,1782463,29374,2022-01-07
178,New Jersey,1815163,29444,2022-01-08
179,New Jersey,1843677,29456,2022-01-09
180,New Mexico,359116,5897,2022-01-04
181,New Mexico,361629,5933,2022-01-05
182,New Mexico,364861,5969,2022-01-06
183,New Mexico,369113,5983,2022-01-07
184,New Mexico,369113,5983,2022-01-08
185,New Mexico,369113,5983,2022-01-09
186,New York,3736399,59865,2022-01-04
187,New York,3812399,60023,2022-01-05
188,New York,3890666,60166,2022-01-06
189,New York,3975745,60356,2022-01-07
190,New York,4057133,60441,2022-01-08
191,New York,4147154,60611,2022-01-09
192,North Carolina,1742844,19494,2022-01-04
193,North Carolina,1763614,19542,2022-01-05
194,North Carolina,1787906,19586,2022-01-06
195,North Carolina,1816380,19619,2022-01-07
196,North Carolina,1816380,19619,2022-01-08
197,North Carolina,1816380,19619,2022-01-09
198,North Dakota,176329,2060,2022-01-04
199,North Dakota,177812,2068,2022-01-05
200,North Dakota,179161,2072,2022-01-06
201,North Dakota,180646,2073,2022-01-07
202,North Dakota,181576,2074,2022-01-08
203,North Dakota,182538,2074,2022-01-09
204,Ohio,2093074,29674,2022-01-04
205,Ohio,2112824,29674,2022-01-05
206,Ohio,2132266,29674,2022-01-06
207,Ohio,2151829,30072,2022-01-07
208,Ohio,2170139,30072,2022-01-08
209,Ohio,2189228,30072,2022-01-09
210,Oklahoma,720961,12512,2022-01-04
211,Oklahoma,724875,12539,2022-01-05
212,Oklahoma,731155,12571,2022-01-06
213,Oklahoma,737593,12592,2022-01-07
214,Oklahoma,737593,12592,2022-01-08
215,Oklahoma,737593,12592,2022-01-09
216,Oregon,435453,5710,2022-01-04
217,Oregon,441648,5719,2022-01-05
218,Oregon,449267,5728,2022-01-06
219,Oregon,459700,5761,2022-01-07
220,Oregon,459700,5761,2022-01-08
221,Oregon,459700,5761,2022-01-09
222,Pennsylvania,2122986,36968,2022-01-04
223,Pennsylvania,2150286,37111,2022-01-05
224,Pennsylvania,2179312,37366,2022-01-06
225,Pennsylvania,2206899,37522,2022-01-07
226,Pennsylvania,2240549,37642,2022-01-08
227,Pennsylvania,2265232,37665,2022-01-09
228,Rhode Island,247324,3096,2022-01-04
229,Rhode Island,253192,3107,2022-01-05
230,Rhode Island,260110,3112,2022-01-06
231,Rhode Island,266066,3121,2022-01-07
232,Rhode Island,266066,3121,2022-01-08
233,Rhode Island,266066,3121,2022-01-09
234,South Carolina,1011271,14674,2022-01-04
235,South Carolina,1018435,14715,2022-01-05
236,South Carolina,1035256,14745,2022-01-06
237,South Carolina,1048252,14746,2022-01-07
238,South Carolina,1048252,14746,2022-01-08
239,South Carolina,1048252,14746,2022-01-09
240,South Dakota,183030,2498,2022-01-04
241,South Dakota,185284,2507,2022-01-05
242,South Dakota,187467,2520,2022-01-06
243,South Dakota,189411,2522,2022-01-07
244,South Dakota,189411,2522,2022-01-08
245,South Dakota,189411,2522,2022-01-09
246,Tennessee,1462996,20941,2022-01-04
247,Tennessee,1462996,20941,2022-01-05
248,Tennessee,1462996,20941,2022-01-06
249,Tennessee,1462996,20941,2022-01-07
250,Tennessee,1462996,20941,2022-01-08
251,Tennessee,1462996,20941,2022-01-09
252,Texas,4804721,76031,2022-01-04
253,Texas,4851987,76132,2022-01-05
254,Texas,4897362,76260,2022-01-06
255,Texas,4949933,76365,2022-01-07
256,Texas,4999623,76461,2022-01-08
257,Texas,5039605,76502,2022-01-09
258,Utah,656407,3811,2022-01-04
259,Utah,663654,3855,2022-01-05
260,Utah,672567,3868,2022-01-06
261,Utah,682036,3887,2022-01-07
262,Utah,682036,3887,2022-01-08
263,Utah,682036,3887,2022-01-09
264,Vermont,68957,480,2022-01-04
265,Vermont,69762,482,2022-01-05
266,Vermont,71942,482,2022-01-06
267,Vermont,73802,482,2022-01-07
268,Vermont,76421,483,2022-01-08
269,Vermont,76673,483,2022-01-09
270,Virginia,1176159,15622,2022-01-04
271,Virginia,1186887,15631,2022-01-05
272,Virginia,1202727,15642,2022-01-06
273,Virginia,1221036,15651,2022-01-07
274,Virginia,1221036,15651,2022-01-08
275,Virginia,1221036,15651,2022-01-09
276,Washington,888336,9909,2022-01-04
277,Washington,899036,9909,2022-01-05
278,Washington,913980,9974,2022-01-06
279,Washington,931071,10004,2022-01-07
280,Washington,931071,10004,2022-01-08
281,Washington,931071,10004,2022-01-09
282,West Virginia,339679,5361,2022-01-04
283,West Virginia,342607,5372,2022-01-05
284,West Virginia,347554,5392,2022-01-06
285,West Virginia,351688,5421,2022-01-07
286,West Virginia,355872,5421,2022-01-08
287,West Virginia,357980,5421,2022-01-09
288,Wisconsin,1142290,11246,2022-01-04
289,Wisconsin,1156050,11319,2022-01-05
290,Wisconsin,1170504,11376,2022-01-06
291,Wisconsin,1186066,11402,2022-01-07
292,Wisconsin,1186066,11402,2022-01-08
293,Wisconsin,1186066,11402,2022-01-09
294,Wyoming,117389,1572,2022-01-04
295,Wyoming,118098,1572,2022-01-05
296,Wyoming,119093,1572,2022-01-06
297,Wyoming,119857,1572,2022-01-07
298,Wyoming,119857,1572,2022-01-08
299,Wyoming,119857,1572,2022-01-09
