,UID,iso2,iso3,code3,FIPS,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,Population,state_code
0,84080001,US,USA,840.0,80001.0,Out of AL,Alabama,US,,,"Out of AL, Alabama, US",,AL
1,84080002,US,USA,840.0,80002.0,Out of AK,Alaska,US,,,"Out of AK, Alaska, US",,AK
2,84080004,US,USA,840.0,80004.0,Out of AZ,Arizona,US,,,"Out of AZ, Arizona, US",,AZ
3,84080005,US,USA,840.0,80005.0,Out of AR,Arkansas,US,,,"Out of AR, Arkansas, US",,AR
4,84080006,US,USA,840.0,80006.0,Out of CA,California,US,,,"Out of CA, California, US",,CA
5,84080008,US,USA,840.0,80008.0,Out of CO,Colorado,US,,,"Out of CO, Colorado, US",,CO
6,84080009,US,USA,840.0,80009.0,Out of CT,Connecticut,US,,,"Out of CT, Connecticut, US",,CT
7,84080010,US,USA,840.0,80010.0,Out of DE,Delaware,US,,,"Out of DE, Delaware, US",,DE
8,84080011,US,USA,840.0,80011.0,Out of DC,District of Columbia,US,,,"Out of DC, District of Columbia, US",,DC
9,84080012,US,USA,840.0,80012.0,Out of FL,Florida,US,,,"Out of FL, Florida, US",,FL
10,84080013,US,USA,840.0,80013.0,Out of GA,Georgia,US,,,"Out of GA, Georgia, US",,GA
11,84080015,US,USA,840.0,80015.0,Out of HI,Hawaii,US,,,"Out of HI, Hawaii, US",,HI
12,84080016,US,USA,840.0,80016.0,Out of ID,Idaho,US,,,"Out of ID, Idaho, US",,ID
13,84080017,US,USA,840.0,80017.0,Out of IL,Illinois,US,,,"Out of IL, Illinois, US",,IL
14,84080018,US,USA,840.0,80018.0,Out of IN,Indiana,US,,,"Out of IN, Indiana, US",,IN
15,84080019,US,USA,840.0,80019.0,Out of IA,Iowa,US,,,"Out of IA, Iowa, US",,IA
16,84080020,US,USA,840.0,80020.0,Out of KS,Kansas,US,,,"Out of KS, Kansas, US",,KS
17,84080021,US,USA,840.0,80021.0,Out of KY,Kentucky,US,,,"Out of KY, Kentucky, US",,KY
18,84080022,US,USA,840.0,80022.0,Out of LA,Louisiana,US,,,"Out of LA, Louisiana, US",,LA
19,84080023,US,USA,840.0,80023.0,Out of ME,Maine,US,,,"Out of ME, Maine, US",,ME
20,84080024,US,USA,840.0,80024.0,Out of MD,Maryland,US,,,"Out of MD, Maryland, US",,MD
21,84080025,US,USA,840.0,80025.0,Out of MA,Massachusetts,US,,,"Out of MA, Massachusetts, US",,MA
22,84080026,US,USA,840.0,80026.0,Out of MI,Michigan,US,,,"Out of MI, Michigan, US",,MI
23,84080027,US,USA,840.0,80027.0,Out of MN,Minnesota,US,,,"Out of MN, Minnesota, US",,MN
24,84080028,US,USA,840.0,80028.0,Out of MS,Mississippi,US,,,"Out of MS, Mississippi, US",,MS
25,84080029,US,USA,840.0,80029.0,Out of MO,Missouri,US,,,"Out of MO, Missouri, US",,MO
26,84080030,US,USA,840.0,80030.0,Out of MT,Montana,US,,,"Out of MT, Montana, US",,MT
27,84080031,US,USA,840.0,80031.0,Out of NE,Nebraska,US,,,"Out of NE, Nebraska, US",,NE
