,order_id,review_score,classification_1,classification_2
0,00010242fe8c5a6d1ba2dd792cb16214,5,2,1
1,00018f77f2f0320c557190d7a144bdd3,4,1,1
2,000229ec398224ef6ca0657da4fc703e,5,2,1
3,00024acbcdf0a6daa1e931b038114c75,4,1,1
4,00042b26cf59d7ce69dfabb4e55b4fd9,5,2,1
5,00048cc3ae777c65dbb7d2a0634bc1ea,4,1,1
6,00054e8431b9d7675808bcb819fb4a32,4,1,1
7,000576fe39319847cbb9d288c5617fa6,5,2,1
8,0005a1a1728c9d785b8e2b08b904576c,1,0,0
9,0005f50442cb953dcd1d21e1fb923495,4,1,1
10,00061f2a7bc09da83e415a52dc8a4af1,5,2,1
11,00063b381e2406b52ad429470734ebd5,5,2,1
12,0006ec9db01a64e59a68b2c340bf65a7,5,2,1
13,0008288aa423d2a3f00fcb17cd7d8719,5,2,1
14,0009792311464db532ff765bf7b182ae,5,2,1
15,000aed2e25dbad2f9ddb70584c5a2ded,1,0,0
16,000c3e6612759851cc3cbb4b83257986,5,2,1
17,000e562887b1f2006d75e0be9558292e,3,0,0
18,000e63d38ae8c00bbcb5a30573b99628,3,0,0
19,000e906b789b55f64edcb1f84030f90d,3,0,0
20,000f25f4d72195062c040b12dce9a18a,4,1,1
21,0010b2e5201cc5f1ae7e9c6cc8f5bd00,5,2,1
22,0010dedd556712d7bb69a19cb7bbd37a,1,0,0
23,00119ff934e539cf26f92b9ef0cdfed8,5,2,1
24,00125cb692d04887809806618a2a145f,5,2,1
25,00130c0eee84a3d909e75bc08c5c3ca1,5,2,1
26,0013503b13da1eac686219390b7d641b,5,2,1
27,00137e170939bba5a3134e2386413108,4,1,1
28,001427c0ec99cf8af737bd88e92fd444,2,0,0
29,00143d0f86d6fbd9f9b38ab440ac16f5,1,0,0
30,0014ae671de39511f7575066200733b7,5,2,1
31,0016dfedd97fc2950e388d2971d718c7,5,2,1
32,0017afd5076e074a48f1f1a4c7bac9c5,1,0,0
33,0019c29108428acffd089c36103c9440,5,2,1
34,001ab0a7578dd66cd4b0a71f5b6e1e41,4,1,1
35,001ac194d4a326a6fa99b581e9a3d963,5,2,1
36,001c85b5f68d2be0cb0797afc9e8ce9a,2,0,0
37,001d8f0e34a38c37f7dba2a37d4eba8b,1,0,0
38,001e7ba991be1b19605ca0316e7130f9,5,2,1
39,001e7cf2ad6bef3ade12ebc56ceaf0f3,1,0,0
40,0020262c8a370bd5a174ea6a2a267321,4,1,1
41,0020a222f55eb79a372d0efee3cca688,5,2,1
42,002175704e8b209f61b9ad5cfd92b60e,4,1,1
43,00229e4e43f7a7e0b9dd819ad43268d3,5,2,1
44,0025081dcf9330f9a5052ae82c6ce396,5,2,1
45,00254baeb6c932b0a8aeead91fbd02b5,5,2,1
46,002611a77fe03d076285fd4ca95db77c,4,1,1
47,002691433f09002ac9ca0c4e8dbb8ead,5,2,1
48,0026a368634b6e6f34f33b1499773a30,4,1,1
49,00275bce676303c3bfd7292aefdfa223,5,2,1
50,00276d5c3491fbf55305e26891040df9,4,1,1
51,002834535f7a609a5c68266f173fa59e,5,2,1
52,0028de0ca693a1bb26448916a81105cc,4,1,1
53,002955b0acc63d04f6724a31967e82bd,5,2,1
54,0029c5db35ef291ce99d1262012e7daa,4,1,1
55,002af7fa9eb99d1456bceb6a13d6fc0b,4,1,1
56,002b430ff89b3a24c31a1170acbbedea,5,2,1
57,002b4e6fa42cd4a22cc86abc18fe9c05,5,2,1
58,002c9def9c9b951b1bec6d50753c9891,4,1,1
59,002d040018d12a3853c059f7f23ab5b1,3,0,0
60,002f16b7bc4530031b7d90f791b12d8a,5,2,1
61,002f19a65a2ddd70a090297872e6d64e,3,0,0
62,002f98c0f7efd42638ed6100ca699b42,5,2,1
63,0030ff924c38549807645976adeef2c0,5,2,1
64,00324b3eda39ba5ecce3945823e3594c,5,2,1
65,0032d07457ae9c806c79368d7d9ce96b,1,0,0
66,003324c70b19a16798817b2b3640e721,1,0,0
67,00335b686d693c7d72deeb12f8e89227,3,0,0
68,00335f75ea6a4455b524a8dd177067f5,5,2,1
69,00337fe25a3780b3424d9ad7c5a4b35e,5,2,1
70,00345f338696283410b7977d2e3efc89,5,2,1
71,0035246a40f520710769010f752e7507,5,2,1
72,0035246a40f520710769010f752e7507,5,2,1
73,0035c0b07126fe9c24a325216fb96064,4,1,1
74,0035e6b7ade84b3f5b86bd49814793df,5,2,1
75,0036757472ece3dde52fd4bfd929c90e,2,0,0
76,0036887767dea4bd43b1a88cd0d9477a,5,2,1
77,00378c6c981f234634c0b9d6128df6dd,4,1,1
78,003822434f91204da0a51fe4cf2aba18,5,2,1
79,003a94f778ef8cfd50247c8c1b582257,1,0,0
80,003cc6161d7a2593f2525cce0c330d32,5,2,1
81,003d0634280ff3d1d3a54459349a6899,3,0,0
82,003d9fc84ad902adf2265248b5ffe1a4,4,1,1
83,003edccf16bc5ec447f592913b3df2b4,5,2,1
84,003f201cdd39cdd59b6447cff2195456,1,0,0
85,003f9bcc09427647c4b9d361a523545b,5,2,1
86,0040a56893444cb56cba7cfe2225e34e,2,0,0
87,004157daafa0bc8672e01f00e4f0c04f,5,2,1
88,00418a49a685c6bb60633291c3fab17a,1,0,0
89,004345d16a1ab2c21962992c721c8643,5,2,1
90,0044c6f6d22dd280534344177c81b989,4,1,1
91,0045f5225a96ef46630701167528fdcb,5,2,1
92,0046176ff0dbc2a178b7885355dfbb71,5,2,1
93,0046e1d57f4c07c8c92ab26be8c3dfc0,5,2,1
94,00471463a6106056c1a2a809f70de640,5,2,1
95,004b62108b876867938746ad3154167f,5,2,1
96,004ba47bb589cdbc485e6025bd6d3c81,5,2,1
97,004ca5ae248069d68e8594df8abf6ce0,5,2,1
98,004d76fef3dd46eb4f70da049c8d1f93,5,2,1
99,004eab0fd8f28adaf8d488976f77febe,5,2,1
100,004f5d8f238e8908e6864b874eda3391,3,0,0
101,004fb11815bc03b01b20a614eef69d14,5,2,1
102,005059edee63c8c708ba61910793b31b,3,0,0
103,00526a9d4ebde463baee25f386963ddc,1,0,0
104,0055b77cca3186676c147f532dd2547b,5,2,1
105,0057199db02d1a5ef41bacbf41f8f63b,4,1,1
106,00571ded73b3c061925584feab0db425,5,2,1
107,00588f5f20fee630b83d4709e0a42715,1,0,0
108,005997dca4c1fc45066d0a03d54a6469,5,2,1
109,005a1dded353107dbabf8ffc83a20365,5,2,1
110,005cad6157eadc7f1f09917607f1704a,5,2,1
