machine_id,Coolant_level,Electrical_supply_voltage,Electrical_supply_current,Compressed_air_flow_rate,Compressed_air_pressure,Compressed_air_temperature,Through_spindle_coolant_pressure,Through_spindle_coolant_flow,Flood_coolant_flow,Coolant_temperature,Coolant_Acidity,Spindle_speed,Servo_motor_vibration,Servo_motor_torque,Coolant_dilution,Ballscrew_strain,Process_sound_monitoring,Spindle_vibration,Target_1
d8b67d7f-2c3e-46e4-94cc-cdaa67023b56,187,238.7,142.6,44,4.4,51.4,771.8,446.9,189.3,61.7,7.2,14986.5,19.8,11,4.8,46.7,21.6,6.8,1
2591cdaa-d61b-4f90-a08c-e69741ff34fa,58,139.8,26.1,66,0.5,41.4,39,644.6,214.1,37,4.6,9607.2,33.5,146.5,150.2,99,50.4,34.9,1
832fd357-3ca1-4c21-869b-18f18ea88f67,267,257.7,120.1,99.9,29,89.3,700.5,411,347.9,16,10.1,36063.3,48.2,5.5,181.4,2.5,102.2,42.6,2
004c77eb-e04a-4b87-bf00-67d941bf5436,132,341.7,142.8,22.7,5.6,1.5,515,176.6,278.3,27.6,0.2,4326.5,1.7,125.3,190.6,92.5,78.9,5.9,1
08e4b5f7-b048-45f5-a2fb-e134ad02bd23,108,211,73.4,5.1,4.6,27.5,1431.2,94.7,55.6,87.8,5.4,18552.7,5,90,87,62.1,115.3,19.4,1
51c0c29a-8c18-4e54-a107-b54ea61d1684,147,240.9,121.5,95.3,8.5,23.3,951.3,318,110.5,50.5,13.3,38360.4,17.6,48.5,81.8,92.3,108.1,2.6,1
c44eded3-9835-41a8-953d-01bb9816cbae,107,227.7,95.6,38.9,23.4,68,383.4,645.8,12.7,69,11.7,10429.6,19.6,153,111.2,10.4,7.8,9.3,1
f45fb3f0-83ad-40b2-8c9a-4ad08ee14971,105,216.6,36.4,8.5,39.8,14.6,137.2,116.6,125.2,20.5,11.7,38577.7,30.6,105.9,159,4.6,171.6,7.5,1
e987bfea-4c3d-4010-a5f6-cef5000d57cd,232,246.8,31.8,2.1,41.1,76.6,263.9,105.3,224.5,34.6,6.6,22275.2,9.6,116.6,113.2,51.5,117.3,11.4,1
a8573f58-781f-478d-98bd-bf88f255a999,93,331,2.7,143.4,7.1,45,768.4,258.9,322.7,75.4,6.4,30467.1,21.4,127,109.6,35,113.9,27.4,1
d4a142eb-71c3-489a-962f-ace8f2333ce0,153,227.6,41.8,126.8,29.1,57.7,141.5,365.5,446.1,9.8,11.4,6973.7,42.2,20.4,1.1,66.7,177.3,29.3,1
2112f220-0a23-469f-a7fe-1c391b52c70b,65,129.4,67.9,54.3,6.2,48.4,913,170.4,649.3,47,4.8,7062.5,10.3,116.9,2.7,83.6,49.4,47.8,1
4dd73c22-a556-4fa4-93b6-5e36e3d0f75b,186,229.5,43,54.3,9.2,45.1,148.6,59.8,479.3,70,2.7,18764.8,14.7,151.8,6.8,84.5,80.7,16.8,1
22b128cf-4672-45d2-94b4-65318e5b8207,33,331.3,50.7,74.4,41,76.8,1291.3,131.9,158.6,91.5,9.4,12371.1,33.2,187.3,173.9,2.9,168.3,16.6,2
fac76453-0f25-4e47-a9bb-d9e0ff2726fb,207,299.8,128.8,135.9,46,11.9,1286.9,509,531,71.9,3,39045.9,40.1,52,46.2,44.5,134,48.3,2
08a0e86a-3fc3-4e47-882a-52811ef60b9b,134,314.1,153.2,100.2,14,79.7,1356.3,648.4,31.6,70.6,0.1,44517.1,17.6,3.7,63.3,64,25.4,42.6,2
ad90f484-cb8c-4ed6-9946-c5dde8129939,285,299.2,43,117.6,21,50.1,817.1,287.1,95.3,58.9,6.4,25198.1,24.3,43.6,160,26,1.4,28.4,1
9003d0f3-cbe4-408a-879d-42657915b909,236,277.3,123.4,37.3,40.5,18.9,907.3,229.5,182,44.7,1.8,22936.4,45.8,161.8,147.4,11.7,56.5,15.4,1
f53f2bff-8673-48a6-a434-90adb53273f3,85,144.1,2,9.5,29.3,87.2,275.4,692.2,574.9,63.6,0.5,19143.1,18.9,24.2,94.7,30,144.7,43.6,2
ca6a82cf-4f2e-40dd-b615-de6429121e2d,265,337.7,11.5,32.2,36.1,35.8,1384.1,164.9,21.6,49.9,6.3,34053.2,4.5,176.6,118.7,35.4,133.4,38.7,1
2bc1c993-9078-4838-87b0-86a9d0e8a3a1,83,205.7,119.2,145.3,41.2,15.1,751,244.8,218,51.5,4.9,20721,6.4,57.5,110,33.5,48,35.6,1
7374c2d6-b690-4433-b600-586d2ac74129,4,187.6,78.6,99.7,48.7,29.6,971.8,522.5,640.1,29.6,13.8,39740.2,40.6,68.3,58.1,15.6,164.6,19.6,2
69089bb0-e977-45d6-8af7-c906985bb845,147,154.8,91.3,1.2,32.1,0.6,412.1,383.1,263.1,17.3,3.5,27897.4,43,171.1,83.8,14.6,23.2,2.5,1
5b5f68ce-9962-4078-a58d-d306e51e16d0,138,287.1,78.9,86.3,41.1,93,1099.2,303.4,496.9,62.1,10.3,10307.3,26.9,97.2,7,16.2,87.3,24.8,2
fb2f74e8-8569-40c4-82ea-7c7bdb8442b5,101,222.2,120.6,30.7,24.3,46.7,470.6,229.6,43.5,19,11.1,30608.4,22.5,56.2,64.4,49.9,77.8,20.9,1
1dd39027-cc97-4186-af6a-7f410259ad28,52,311.2,9.4,57.3,21.8,21.4,291.3,15,391.9,19.7,10.7,4255.8,44.2,149,106.9,13,80.6,15.4,1
7c2168f1-e61b-4ba7-915a-dbd5b8bc9561,282,159.9,103.1,106.5,13.2,8.1,478.4,224.4,226.1,0.1,0.2,31202.5,38.7,33,66.5,92,85,32.4,2
9c3bca76-bee8-46ad-8673-7a952c45d707,85,125.5,138.5,120.4,44.6,48.9,969.5,611.8,646,35.4,0.8,38776.9,24.3,189.4,94.1,89,121.6,34.1,2
9a7e7599-d8be-4188-aafc-fdb6bd73badc,204,236.1,7.6,110.5,45,7.5,718.3,115.4,579,14.9,7,15228.9,44.1,54.6,172.7,32.3,65.8,10.5,1
579109eb-d557-41b6-95aa-e5042f3306cc,251,331.6,118.5,16,49.6,72.6,126.4,174.3,503.3,5.7,12.4,25034.9,8.4,68.4,44.5,96.1,45.1,30,1
83a4b84c-330e-4b52-bbb8-9f3f10db5684,157,322.7,68,119,35.7,78.1,1104.4,181.2,160.1,8.3,4.4,15077.9,15.7,81.5,141.3,46.2,117.6,19.2,2
1dbb7279-1483-4e61-84dd-6ed376d9e588,20,204.8,80.8,19,39.6,80.1,225.1,427.7,580.6,58.4,4,40337.8,21.3,40.9,35.6,65.5,124.9,26.9,2
c4060bfa-1d41-4570-a177-cfebb3a8f4f9,224,263,142.8,66.3,34.7,93.2,352.2,382.2,674.5,55.9,12.9,21108.6,23.6,112.1,151.6,97.4,121.7,26.3,2
610e3b02-e343-4246-a12b-c9a91553d351,74,283.1,82.9,140.8,45.9,80.1,1121.3,68.6,271.8,99.1,1.6,32874.5,15.4,194.6,57,23,95.4,37.9,2
be870802-01aa-4bea-8084-16dba6310045,287,147.9,118.3,88.2,28.4,97.7,240.6,156.9,18,59.6,11.5,27111.9,9.3,156.7,155.8,44.3,177.8,44.4,2
b1f5a0eb-d71b-414e-a07b-77632a2299a6,49,174.6,133.4,56.9,43.3,60.5,797.1,645.4,415.4,44.4,12.8,40489.7,20.3,131.9,42.5,2,51.5,11.5,1
cd684aab-55b2-4518-b7cc-baaf6d406432,74,115.8,81.8,48.8,31.3,74.7,1106.2,230.5,112.2,23.2,8.8,19467.2,13.9,151.2,32.3,30.2,156.2,7.7,1
8fd9b918-e5ab-41eb-be5a-0282233e10f8,17,342.4,89.8,1.2,31.7,18.8,689.8,126.7,462.1,38.8,6.7,10730.2,14,62.7,46.7,16.9,119.4,5.7,1
1e53e878-9f06-435f-82bb-f7a71d0800cf,117,128.4,111.2,51.6,15.8,89.3,1415.2,84,456.3,49.9,10.5,44445.6,12.5,74,197.3,47.2,43.3,6.3,2
